Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,Team,,Player
V Kohli,2010-2019,75,70,20,2633,94*,52.66,1907,138.07,0,24,2,247,71,INDIA,,V Kohli
RG Sharma (INDIA),2007-2019,104,96,14,2633,118,32.1,1905,138.21,4,19,6,234,120,INDIA,,RG Sharma
MJ Guptill (NZ),2009-2019,83,80,7,2436,105,33.36,1810,134.58,2,15,2,215,113,NEW ZEALAND,,MJ Guptill
Shoaib Malik (ICC/PAK),2006-2019,111,104,30,2263,75,30.58,1824,124.06,0,7,1,186,61,PAKISTAN,,Shoaib Malik
BB McCullum (NZ),2005-2015,71,70,10,2140,123,35.66,1571,136.21,2,13,3,199,91,NEW ZEALAND,,BB McCullum
DA Warner (AUS),2009-2019,76,76,8,2079,100*,30.57,1476,140.85,1,15,5,203,86,AUSTRALIA,,DA Warner
EJG Morgan (ENG),2009-2019,86,84,17,2002,91,29.88,1475,135.72,0,11,3,151,96,ENGLAND,,EJG Morgan
Mohammad Shahzad (AFG),2010-2018,65,65,3,1936,118*,31.22,1436,134.81,1,12,3,218,72,AFGHANISTAN,,Mohammad Shahzad
JP Duminy (SA),2007-2019,81,75,25,1934,96*,38.68,1532,126.24,0,11,6,138,71,SOUTH AFRICA,,JP Duminy
PR Stirling (IRE),2009-2019,72,71,6,1929,91,29.67,1401,137.68,0,16,8,233,59,IRELAND,,PR Stirling
Mohammad Hafeez (PAK),2006-2018,89,86,8,1908,86,24.46,1643,116.12,0,10,6,196,51,PAKISTAN,,Mohammad Hafeez
TM Dilshan,2006-2016,80,79,12,1889,104*,28.19,1567,120.54,1,13,10,223,33,SRI LANKA,,TM Dilshan
AJ Finch (AUS),2011-2019,58,58,9,1878,172,38.32,1200,156.5,2,11,4,182,90,AUSTRALIA,,AJ Finch
LRPL Taylor (NZ),2006-2019,95,87,19,1743,63,25.63,1430,121.88,0,5,5,110,65,NEW ZEALAND,,LRPL Taylor
Umar Akmal (PAK),2009-2019,84,79,14,1690,94,26,1377,122.73,0,8,10,122,55,PAKISTAN,,Umar Akmal
AB de Villiers (SA),2006-2017,78,75,11,1672,79*,26.12,1237,135.16,0,10,5,140,60,SOUTH AFRICA,,AB de Villiers
H Masakadza (ZIM),2006-2019,66,66,2,1662,93*,25.96,1418,117.2,0,11,1,151,65,ZIMBABWE,,H Masakadza
AD Hales (ENG),2011-2019,60,60,7,1644,116*,31.01,1203,136.65,1,8,4,175,55,ENGLAND,,AD Hales
CH Gayle (WI),2006-2019,58,54,4,1627,117,32.54,1139,142.84,2,13,3,138,105,WEST INDIES,,CH Gayle
MS Dhoni (INDIA),2006-2019,98,85,42,1617,56,37.6,1282,126.13,0,2,1,116,52,INDIA,,MS Dhoni
